StartDate,EndDate,Value (kWh)
11/1/2023 0:00,11/1/2023 1:00,0.566
11/1/2023 1:00,11/1/2023 2:00,0.586
11/1/2023 2:00,11/1/2023 3:00,0.54
11/1/2023 3:00,11/1/2023 4:00,0.472
11/1/2023 4:00,11/1/2023 5:00,0.63
11/1/2023 5:00,11/1/2023 6:00,0.417
11/1/2023 6:00,11/1/2023 7:00,0.3
11/1/2023 7:00,11/1/2023 8:00,0.334
11/1/2023 8:00,11/1/2023 9:00,0.607
11/1/2023 9:00,11/1/2023 10:00,0.417
11/1/2023 10:00,11/1/2023 11:00,0.425
11/1/2023 11:00,11/1/2023 12:00,0.44
11/1/2023 12:00,11/1/2023 13:00,0.416
11/1/2023 13:00,11/1/2023 14:00,0.739
11/1/2023 14:00,11/1/2023 15:00,2.613
11/1/2023 15:00,11/1/2023 16:00,1.143
11/1/2023 16:00,11/1/2023 17:00,0.502
11/1/2023 17:00,11/1/2023 18:00,0.509
11/1/2023 18:00,11/1/2023 19:00,0.804
11/1/2023 19:00,11/1/2023 20:00,0.562
11/1/2023 20:00,11/1/2023 21:00,3.337
11/1/2023 21:00,11/1/2023 22:00,1.707
11/1/2023 22:00,11/1/2023 23:00,0.93
11/1/2023 23:00,11/2/2023 0:00,0.52
11/2/2023 0:00,11/2/2023 1:00,0.951
11/2/2023 1:00,11/2/2023 2:00,0.652
11/2/2023 2:00,11/2/2023 3:00,0.78
11/2/2023 3:00,11/2/2023 4:00,4.41
11/2/2023 4:00,11/2/2023 5:00,0.713
11/2/2023 5:00,11/2/2023 6:00,0.39
11/2/2023 6:00,11/2/2023 7:00,0.351
11/2/2023 7:00,11/2/2023 8:00,0.661
11/2/2023 8:00,11/2/2023 9:00,0.394
11/2/2023 9:00,11/2/2023 10:00,0.509
11/2/2023 10:00,11/2/2023 11:00,0.512
11/2/2023 11:00,11/2/2023 12:00,0.67
11/2/2023 12:00,11/2/2023 13:00,1.433
11/2/2023 13:00,11/2/2023 14:00,0.818
11/2/2023 14:00,11/2/2023 15:00,0.508
11/2/2023 15:00,11/2/2023 16:00,0.543
11/2/2023 16:00,11/2/2023 17:00,0.516
11/2/2023 17:00,11/2/2023 18:00,2.287
11/2/2023 18:00,11/2/2023 19:00,0.952
11/2/2023 19:00,11/2/2023 20:00,0.682
11/2/2023 20:00,11/2/2023 21:00,0.926
11/2/2023 21:00,11/2/2023 22:00,0.731
11/2/2023 22:00,11/2/2023 23:00,1.771
11/2/2023 23:00,11/3/2023 0:00,1.396
11/3/2023 0:00,11/3/2023 1:00,0.629
11/3/2023 1:00,11/3/2023 2:00,0.593
11/3/2023 2:00,11/3/2023 3:00,0.588
11/3/2023 3:00,11/3/2023 4:00,0.67
11/3/2023 4:00,11/3/2023 5:00,0.412
11/3/2023 5:00,11/3/2023 6:00,0.445
11/3/2023 6:00,11/3/2023 7:00,0.412
11/3/2023 7:00,11/3/2023 8:00,0.676
11/3/2023 8:00,11/3/2023 9:00,0.398
11/3/2023 9:00,11/3/2023 10:00,0.505
11/3/2023 10:00,11/3/2023 11:00,0.521
11/3/2023 11:00,11/3/2023 12:00,0.547
11/3/2023 12:00,11/3/2023 13:00,0.759
11/3/2023 13:00,11/3/2023 14:00,0.544
11/3/2023 14:00,11/3/2023 15:00,0.525
11/3/2023 15:00,11/3/2023 16:00,0.561
11/3/2023 16:00,11/3/2023 17:00,0.762
11/3/2023 17:00,11/3/2023 18:00,3.304
11/3/2023 18:00,11/3/2023 19:00,5.406
11/3/2023 19:00,11/3/2023 20:00,4.324
11/3/2023 20:00,11/3/2023 21:00,1.678
11/3/2023 21:00,11/3/2023 22:00,1.919
11/3/2023 22:00,11/3/2023 23:00,1.79
11/3/2023 23:00,11/4/2023 0:00,2.448
11/4/2023 0:00,11/4/2023 1:00,1.537
11/4/2023 1:00,11/4/2023 2:00,1.723
11/4/2023 2:00,11/4/2023 3:00,1.264
11/4/2023 3:00,11/4/2023 4:00,0.724
11/4/2023 4:00,11/4/2023 5:00,0.71
11/4/2023 5:00,11/4/2023 6:00,1.016
11/4/2023 6:00,11/4/2023 7:00,0.687
11/4/2023 7:00,11/4/2023 8:00,0.715
11/4/2023 8:00,11/4/2023 9:00,0.807
11/4/2023 9:00,11/4/2023 10:00,1.063
11/4/2023 10:00,11/4/2023 11:00,0.801
11/4/2023 11:00,11/4/2023 12:00,0.835
11/4/2023 12:00,11/4/2023 13:00,0.829
11/4/2023 13:00,11/4/2023 14:00,1.129
11/4/2023 14:00,11/4/2023 15:00,0.812
11/4/2023 15:00,11/4/2023 16:00,0.845
11/4/2023 16:00,11/4/2023 17:00,0.804
11/4/2023 17:00,11/4/2023 18:00,1.197
11/4/2023 18:00,11/4/2023 19:00,4.382
11/4/2023 19:00,11/4/2023 20:00,2.28
11/4/2023 20:00,11/4/2023 21:00,1.347
11/4/2023 21:00,11/4/2023 22:00,1.421
11/4/2023 22:00,11/4/2023 23:00,2.526
11/4/2023 23:00,11/5/2023 0:00,4.498
11/5/2023 0:00,11/5/2023 1:00,3.075
11/5/2023 1:00,11/5/2023 2:00,3.386
11/5/2023 2:00,11/5/2023 3:00,1.72
