StartDate,EndDate,Value (kWh),Notes
2024-01-01 00:00:00,2024-01-01 01:00:00,1.004,
2024-01-01 01:00:00,2024-01-01 02:00:00,1.006,
2024-01-01 02:00:00,2024-01-01 03:00:00,0.767,
2024-01-01 03:00:00,2024-01-01 04:00:00,0.746,
2024-01-01 04:00:00,2024-01-01 05:00:00,0.915,
2024-01-01 05:00:00,2024-01-01 06:00:00,0.723,
2024-01-01 06:00:00,2024-01-01 07:00:00,0.729,
2024-01-01 07:00:00,2024-01-01 08:00:00,0.57,
2024-01-01 08:00:00,2024-01-01 09:00:00,0.821,
2024-01-01 09:00:00,2024-01-01 10:00:00,0.856,
2024-01-01 10:00:00,2024-01-01 11:00:00,0.802,
2024-01-01 11:00:00,2024-01-01 12:00:00,0.859,
2024-01-01 12:00:00,2024-01-01 13:00:00,0.89,
2024-01-01 13:00:00,2024-01-01 14:00:00,1.16,
2024-01-01 14:00:00,2024-01-01 15:00:00,1.058,
2024-01-01 15:00:00,2024-01-01 16:00:00,2.958,
2024-01-01 16:00:00,2024-01-01 17:00:00,1.714,
2024-01-01 17:00:00,2024-01-01 18:00:00,1.333,
2024-01-01 18:00:00,2024-01-01 19:00:00,0.916,
2024-01-01 19:00:00,2024-01-01 20:00:00,0.716,
2024-01-01 20:00:00,2024-01-01 21:00:00,2.277,
2024-01-01 21:00:00,2024-01-01 22:00:00,2.721,
2024-01-01 22:00:00,2024-01-01 23:00:00,1.048,
2024-01-01 23:00:00,2024-01-02 00:00:00,0.991,
2024-01-02 00:00:00,2024-01-02 01:00:00,0.85,
2024-01-02 01:00:00,2024-01-02 02:00:00,2.52,
2024-01-02 02:00:00,2024-01-02 03:00:00,1.297,
2024-01-02 03:00:00,2024-01-02 04:00:00,3.335,
2024-01-02 04:00:00,2024-01-02 05:00:00,1.437,
2024-01-02 05:00:00,2024-01-02 06:00:00,0.458,
2024-01-02 06:00:00,2024-01-02 07:00:00,0.711,
2024-01-02 07:00:00,2024-01-02 08:00:00,0.41,
2024-01-02 08:00:00,2024-01-02 09:00:00,0.511,
2024-01-02 09:00:00,2024-01-02 10:00:00,0.517,
2024-01-02 10:00:00,2024-01-02 11:00:00,0.561,
2024-01-02 11:00:00,2024-01-02 12:00:00,1.018,
2024-01-02 12:00:00,2024-01-02 13:00:00,3.445,
2024-01-02 13:00:00,2024-01-02 14:00:00,0.981,
2024-01-02 14:00:00,2024-01-02 15:00:00,1.249,
2024-01-02 15:00:00,2024-01-02 16:00:00,2.703,
2024-01-02 16:00:00,2024-01-02 17:00:00,4.655,
2024-01-02 17:00:00,2024-01-02 18:00:00,2.629,
2024-01-02 18:00:00,2024-01-02 19:00:00,7.12,
2024-01-02 19:00:00,2024-01-02 20:00:00,5.451,
2024-01-02 20:00:00,2024-01-02 21:00:00,3.92,
2024-01-02 21:00:00,2024-01-02 22:00:00,4.17,
2024-01-02 22:00:00,2024-01-02 23:00:00,2.125,
2024-01-02 23:00:00,2024-01-03 00:00:00,1.506,
2024-01-03 00:00:00,2024-01-03 01:00:00,3.779,
2024-01-03 01:00:00,2024-01-03 02:00:00,2.313,
2024-01-03 02:00:00,2024-01-03 03:00:00,3.4,
2024-01-03 03:00:00,2024-01-03 04:00:00,3.464,
2024-01-03 04:00:00,2024-01-03 05:00:00,1.024,
2024-01-03 05:00:00,2024-01-03 06:00:00,0.404,
2024-01-03 06:00:00,2024-01-03 07:00:00,0.684,
2024-01-03 07:00:00,2024-01-03 08:00:00,0.408,
2024-01-03 08:00:00,2024-01-03 09:00:00,0.509,
2024-01-03 09:00:00,2024-01-03 10:00:00,0.768,
2024-01-03 10:00:00,2024-01-03 11:00:00,0.535,
2024-01-03 11:00:00,2024-01-03 12:00:00,1.065,
2024-01-03 12:00:00,2024-01-03 13:00:00,1.524,
2024-01-03 13:00:00,2024-01-03 14:00:00,1.136,
2024-01-03 14:00:00,2024-01-03 15:00:00,1.911,
2024-01-03 15:00:00,2024-01-03 16:00:00,0.57,
2024-01-03 16:00:00,2024-01-03 17:00:00,0.539,
2024-01-03 17:00:00,2024-01-03 18:00:00,0.98,
2024-01-03 18:00:00,2024-01-03 19:00:00,0.667,
2024-01-03 19:00:00,2024-01-03 20:00:00,2.063,
2024-01-03 20:00:00,2024-01-03 21:00:00,1.79,
2024-01-03 21:00:00,2024-01-03 22:00:00,0.73,
2024-01-03 22:00:00,2024-01-03 23:00:00,0.739,
2024-01-03 23:00:00,2024-01-04 00:00:00,1.416,
2024-01-04 00:00:00,2024-01-04 01:00:00,1.258,
2024-01-04 01:00:00,2024-01-04 02:00:00,1.583,
2024-01-04 02:00:00,2024-01-04 03:00:00,0.86,
2024-01-04 03:00:00,2024-01-04 04:00:00,0.65,
2024-01-04 04:00:00,2024-01-04 05:00:00,0.535,
2024-01-04 05:00:00,2024-01-04 06:00:00,0.371,
2024-01-04 06:00:00,2024-01-04 07:00:00,0.397,
2024-01-04 07:00:00,2024-01-04 08:00:00,0.383,
2024-01-04 08:00:00,2024-01-04 09:00:00,0.77,
2024-01-04 09:00:00,2024-01-04 10:00:00,0.49,
2024-01-04 10:00:00,2024-01-04 11:00:00,1.003,
2024-01-04 11:00:00,2024-01-04 12:00:00,0.48,
2024-01-04 12:00:00,2024-01-04 13:00:00,1.307,
2024-01-04 13:00:00,2024-01-04 14:00:00,0.797,
2024-01-04 14:00:00,2024-01-04 15:00:00,0.499,
2024-01-04 15:00:00,2024-01-04 16:00:00,0.79,
2024-01-04 16:00:00,2024-01-04 17:00:00,0.571,
2024-01-04 17:00:00,2024-01-04 18:00:00,2.556,
2024-01-04 18:00:00,2024-01-04 19:00:00,0.985,
2024-01-04 19:00:00,2024-01-04 20:00:00,0.648,
2024-01-04 20:00:00,2024-01-04 21:00:00,0.514,
2024-01-04 21:00:00,2024-01-04 22:00:00,0.835,
2024-01-04 22:00:00,2024-01-04 23:00:00,0.525,
2024-01-04 23:00:00,2024-01-05 00:00:00,0.558,
2024-01-05 00:00:00,2024-01-05 01:00:00,0.79,
2024-01-05 01:00:00,2024-01-05 02:00:00,0.595,
2024-01-05 02:00:00,2024-01-05 03:00:00,2.177,
2024-01-05 03:00:00,2024-01-05 04:00:00,1.082,
2024-01-05 04:00:00,2024-01-05 05:00:00,0.49,
2024-01-05 05:00:00,2024-01-05 06:00:00,0.716,
2024-01-05 06:00:00,2024-01-05 07:00:00,0.406,
2024-01-05 07:00:00,2024-01-05 08:00:00,0.379,
2024-01-05 08:00:00,2024-01-05 09:00:00,0.474,
2024-01-05 09:00:00,2024-01-05 10:00:00,0.779,
2024-01-05 10:00:00,2024-01-05 11:00:00,0.51,
2024-01-05 11:00:00,2024-01-05 12:00:00,1.224,
2024-01-05 12:00:00,2024-01-05 13:00:00,1.203,
2024-01-05 13:00:00,2024-01-05 14:00:00,0.563,
2024-01-05 14:00:00,2024-01-05 15:00:00,0.881,
2024-01-05 15:00:00,2024-01-05 16:00:00,0.555,
2024-01-05 16:00:00,2024-01-05 17:00:00,0.513,
2024-01-05 17:00:00,2024-01-05 18:00:00,0.485,
2024-01-05 18:00:00,2024-01-05 19:00:00,0.625,
2024-01-05 19:00:00,2024-01-05 20:00:00,0.916,
2024-01-05 20:00:00,2024-01-05 21:00:00,0.563,
2024-01-05 21:00:00,2024-01-05 22:00:00,0.564,
2024-01-05 22:00:00,2024-01-05 23:00:00,0.543,
2024-01-05 23:00:00,2024-01-06 00:00:00,0.693,
2024-01-06 00:00:00,2024-01-06 01:00:00,1.153,
2024-01-06 01:00:00,2024-01-06 02:00:00,3.669,
2024-01-06 02:00:00,2024-01-06 03:00:00,1.628,
2024-01-06 03:00:00,2024-01-06 04:00:00,2.975,
2024-01-06 04:00:00,2024-01-06 05:00:00,2.206,
2024-01-06 05:00:00,2024-01-06 06:00:00,1.619,
2024-01-06 06:00:00,2024-01-06 07:00:00,0.444,
2024-01-06 07:00:00,2024-01-06 08:00:00,0.405,
2024-01-06 08:00:00,2024-01-06 09:00:00,0.754,
2024-01-06 09:00:00,2024-01-06 10:00:00,0.525,
2024-01-06 10:00:00,2024-01-06 11:00:00,0.517,
2024-01-06 11:00:00,2024-01-06 12:00:00,1.348,
2024-01-06 12:00:00,2024-01-06 13:00:00,1.13,
2024-01-06 13:00:00,2024-01-06 14:00:00,1.055,
2024-01-06 14:00:00,2024-01-06 15:00:00,0.782,
2024-01-06 15:00:00,2024-01-06 16:00:00,0.865,
2024-01-06 16:00:00,2024-01-06 17:00:00,1.856,
