name,datetime,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
spring tx,10/9/2023,68.72,27.8,12.3,20.2,11,60,0,0,0,,0,0,20.5,13.2,197.5,1014.4,20.5,16,56.1,6,10,2023-10-09T07:19:43,2023-10-09T18:57:49,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3763,72242953910,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/10/2023,71.6,26.6,17.7,22,17,74.3,0,0,0,,0,0,20.5,10.1,127.6,1011.5,67.8,16,44.2,2,10,2023-10-10T07:20:20,2023-10-10T18:56:40,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/11/2023,67.46,22.2,16.9,19.7,17.3,86.7,9.353,100,54.17,rain,0,0,31.7,19,77.7,1007.3,69.8,14.3,15.5,1,10,2023-10-11T07:20:57,2023-10-11T18:55:31,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72242953910,E3763,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/12/2023,68.9,28.7,15.2,20.6,16.9,81.6,0,0,0,,0,0,47.9,20.1,124.3,1006.5,40.1,14.2,47.9,6,10,2023-10-12T07:21:35,2023-10-12T18:54:23,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3763,72242953910,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/13/2023,76.64,34.6,18.5,26.1,20,77,0,0,0,,0,0,18.4,16.4,86.6,1009.6,51,15.8,36.6,2,10,2023-10-13T07:22:13,2023-10-13T18:53:15,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/14/2023,69.8,25.5,16.5,21,8.3,44.7,0,0,0,,0,0,42.5,23,348,1018.1,26.2,16,52,5,10,2023-10-14T07:22:52,2023-10-14T18:52:08,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/15/2023,62.96,22.4,12.4,17.2,8.2,56.8,0,0,0,,0,0,48.8,29.1,346.7,1021.3,6.1,16,69.3,6,10,2023-10-15T07:23:30,2023-10-15T18:51:02,0.03,Clear,Clear conditions throughout the day.,clear-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/16/2023,60.08,21.3,11,15.6,6.5,57.1,0,0,0,,0,0,46.4,23.1,351.3,1023.4,2,16,63.3,7,10,2023-10-16T07:24:10,2023-10-16T18:49:57,0.07,Clear,Clear conditions throughout the day.,clear-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/17/2023,59.36,23.3,7.7,15.2,7.4,64.1,0,0,0,,0,0,18.4,13.7,137.5,1021,0,16,84,7,10,2023-10-17T07:24:49,2023-10-17T18:48:52,0.1,Clear,Clear conditions throughout the day.,clear-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/18/2023,66.74,27.7,10.1,19.3,12.4,68.5,0,0,0,,0,0,40.7,17.3,169.4,1016.7,11.4,14.7,65.4,6,10,2023-10-18T07:25:29,2023-10-18T18:47:48,0.14,Clear,Clear conditions throughout the day.,clear-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/19/2023,71.6,30.1,14.8,22,15.9,71.8,0,0,0,,0,0,33.5,16.3,236.1,1015.1,16.5,15.9,64.1,6,10,2023-10-19T07:26:10,2023-10-19T18:46:45,0.18,Clear,Clear conditions throughout the day.,clear-day,"E3763,72242953910,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/20/2023,72.68,31.2,14,22.2,13,62.1,0,0,0,,0,0,29.5,15.1,254.1,1013.1,1.5,15.6,63,5,10,2023-10-20T07:26:51,2023-10-20T18:45:43,0.21,Clear,Clear conditions throughout the day.,clear-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/21/2023,74.84,32.2,14.3,23.5,14.4,60.3,0,0,0,,0,0,18.4,13.7,243.6,1012.2,26.9,16,41.8,3,10,2023-10-21T07:27:32,2023-10-21T18:44:42,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/22/2023,76.82,32.5,19.8,25.5,20.5,78.6,0,0,0,,0,0,38.9,22.1,137.8,1013.6,48.5,15.3,43.3,2,10,2023-10-22T07:28:14,2023-10-22T18:43:41,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/23/2023,78.26,32.2,22.1,26.3,21.3,78.8,0.81,100,25,rain,0,0,51.6,26.9,127.7,1014,71.4,15.7,43.7,5,10,2023-10-23T07:28:56,2023-10-23T18:42:42,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/24/2023,78.62,31.5,22.5,26.5,20.6,73.8,0,0,0,,0,0,53.1,32.8,133.6,1014.9,56.6,16,40.9,4,10,2023-10-24T07:29:38,2023-10-24T18:41:44,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/25/2023,77.9,34,22.5,26.5,22.4,83.8,3.082,100,20.83,rain,0,0,46.6,31,125.8,1015.5,67.3,14.9,14.1,1,10,2023-10-25T07:30:21,2023-10-25T18:40:46,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E3763,72242953910,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/26/2023,77.36,33,23,25.9,23.5,90.4,19.313,100,70.83,rain,0,0,50,22.9,134.8,1015.1,93.7,12.9,18,1,30,2023-10-26T07:31:04,2023-10-26T18:39:50,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/27/2023,78.62,34.8,23.2,27.1,23.3,86.1,0.265,100,4.17,rain,0,0,22.3,19.2,124.2,1017.4,70.9,15.1,13.8,1,30,2023-10-27T07:31:48,2023-10-27T18:38:55,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
spring tx,10/28/2023,78.44,33.4,22.9,26.8,22.6,83.8,0,0,0,,0,0,35.3,20.8,135.3,1016.7,55.6,14.6,22.8,1,10,2023-10-28T07:32:32,2023-10-28T18:38:00,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E3763,72242953910,E8324,KIAH,72244453902,KDWH,KCXO,72243012960"
